Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
STU04 Index,2004-09-17,2004-09-17,09/17/04,2004-09-17,27796
STZ04 Index,2004-12-17,2004-12-17,12/17/04,2004-12-17,30577
STH05 Index,2005-03-18,2005-03-18,03/18/05,2005-03-18,31630
STM05 Index,2005-06-17,2005-06-17,06/17/05,2005-06-17,32928
STU05 Index,2005-09-16,2005-09-16,09/16/05,2005-09-16,34407
STZ05 Index,2005-12-16,2005-12-16,12/16/05,2005-12-16,34906
STH06 Index,2006-03-17,2006-03-17,03/17/06,2006-03-17,38680
STM06 Index,2006-06-16,2006-06-16,06/16/06,2006-06-16,35962
STU06 Index,2006-09-15,2006-09-15,09/15/06,2006-09-15,37872
STZ06 Index,2006-12-15,2006-12-15,12/15/06,2006-12-15,41285
STH07 Index,2007-03-16,2007-03-16,03/16/07,2007-03-16,39955
STM07 Index,2007-06-15,2007-06-15,06/15/07,2007-06-15,42768
STU07 Index,2007-09-21,2007-09-21,09/21/07,2007-09-21,39930
STZ07 Index,2007-12-21,2007-12-21,12/21/07,2007-12-21,38129
STH08 Index,2008-03-20,2008-03-20,03/20/08,2008-03-20,30495
STM08 Index,2008-06-20,2008-06-20,06/20/08,2008-06-20,30338
STU08 Index,2008-09-19,2008-09-19,09/19/08,2008-09-19,26882
STZ08 Index,2008-12-19,2008-12-19,12/19/08,2008-12-19,19153
STH09 Index,2009-03-20,2009-03-20,03/20/09,2009-03-20,14646
STM09 Index,2009-06-19,2009-06-19,06/19/09,2009-06-19,19417
STU09 Index,2009-09-18,2009-09-18,09/18/09,2009-09-18,23658
STZ09 Index,2009-12-18,2009-12-18,12/18/09,2009-12-18,22696
STH10 Index,2010-03-19,2010-03-19,03/19/10,2010-03-19,22925
STM10 Index,2010-06-18,2010-06-18,06/18/10,2010-06-18,20636
STU10 Index,2010-09-17,2010-09-17,09/17/10,2010-09-17,20865
STZ10 Index,2010-12-17,2010-12-17,12/17/10,2010-12-17,20442
STH11 Index,2011-03-18,2011-03-18,03/18/11,2011-03-18,21316
STM11 Index,2011-06-17,2011-06-17,06/17/11,2011-06-17,19663
STU11 Index,2011-09-16,2011-09-16,09/16/11,2011-09-16,14872
STZ11 Index,2011-12-16,2011-12-16,12/16/11,2011-12-16,14659
STH12 Index,2012-03-16,2012-03-16,03/16/12,2012-03-16,17021
STM12 Index,2012-06-15,2012-06-15,06/15/12,2012-06-15,13162
STU12 Index,2012-09-21,2012-09-21,09/21/12,2012-09-21,15927
STZ12 Index,2012-12-21,2012-12-21,12/21/12,2012-12-21,16258
STH13 Index,2013-03-15,2013-03-15,03/15/13,2013-03-15,16178
STM13 Index,2013-06-21,2013-06-21,06/21/13,2013-06-21,15498
STU13 Index,2013-09-20,2013-09-20,09/20/13,2013-09-20,18118
STZ13 Index,2013-12-20,2013-12-20,12/20/13,2013-12-20,18476
STH14 Index,2014-03-21,2014-03-21,03/21/14,2014-03-21,21084
STM14 Index,2014-06-20,2014-06-20,06/20/14,2014-06-20,22336
STU14 Index,2014-09-19,2014-09-19,09/19/14,2014-09-19,21377
STZ14 Index,2014-12-19,2014-12-19,12/19/14,2014-12-19,19158
STH15 Index,2015-03-20,2015-03-20,03/20/15,2015-03-20,22932
STM15 Index,2015-06-19,2015-06-19,06/19/15,2015-06-19,22367
STU15 Index,2015-09-18,2015-09-18,09/18/15,2015-09-18,22033
STZ15 Index,2015-12-18,2015-12-18,12/18/15,2015-12-18,21307
STH16 Index,2016-03-18,2016-03-18,03/18/16,2016-03-18,18717
STM16 Index,2016-06-17,2016-06-17,06/17/16,2016-06-17,16462
STU16 Index,2016-09-16,2016-09-16,09/16/16,2016-09-16,16478
STZ16 Index,2016-12-16,2016-12-16,12/16/16,2016-12-16,19116
STH17 Index,2017-03-17,2017-03-17,03/17/17,2017-03-17,20145
STM17 Index,2017-06-16,2017-06-16,06/16/17,2017-06-16,21029
STU17 Index,2017-09-15,2017-09-15,09/15/17,2017-09-15,22336
STZ17 Index,2017-12-15,2017-12-15,12/15/17,2017-12-15,22055
STH18 Index,2018-03-16,2018-03-16,03/16/18,2018-03-16,22811
STM18 Index,2018-06-15,2018-06-15,06/15/18,2018-06-15,22508
STU18 Index,2018-09-21,2018-09-21,09/21/18,2018-09-21,21568
STZ18 Index,2018-12-21,2018-12-21,12/21/18,2018-12-21,18434
STH19 Index,2019-03-15,2019-03-15,03/15/19,2019-03-15,20987
STM19 Index,2019-06-21,2019-06-21,06/21/19,2019-06-21,21382
STU19 Index,2019-09-20,2019-09-20,09/20/19,2019-09-20,22206
STZ19 Index,2019-12-20,2019-12-20,12/20/19,2019-12-20,23983
STH20 Index,2020-03-20,2020-03-20,03/20/20,2020-03-20,15642
STM20 Index,2020-06-19,2020-06-19,06/19/20,2020-06-19,19632
STU20 Index,2020-09-18,2020-09-18,09/18/20,2020-09-18,19691
STZ20 Index,2020-12-18,2020-12-18,12/18/20,2020-12-18,21926
STH21 Index,2021-03-19,2021-03-19,03/19/21,2021-03-19,23952
STM21 Index,2021-06-18,2021-06-18,06/18/21,2021-06-18,25635
STU21 Index,2021-09-17,2021-09-17,09/17/21,2021-09-17,26103
STZ21 Index,2021-12-17,2021-12-17,12/17/21,2021-12-17,26569
STH22 Index,2022-03-18,2022-03-18,03/18/22,2022-03-18,24215
STM22 Index,2022-06-17,2022-06-17,06/17/22,2022-06-17,21716
STU22 Index,2022-09-16,2022-09-16,09/16/22,2022-09-16,22063
STZ22 Index,2022-12-16,2022-12-16,12/16/22,2022-12-16,23703
STH23 Index,2023-03-17,2023-03-17,03/17/23,2023-03-17,26116
STM23 Index,2023-06-16,2023-06-16,06/16/23,2023-06-16,27743
STU23 Index,2023-09-15,2023-09-15,09/15/23,2023-09-15,29050
STZ23 Index,2023-12-15,2023-12-15,12/15/23,2023-12-15,30434
STH24 Index,2024-03-15,2024-03-15,03/15/24,2024-03-15,33735
STM4 Index,2024-06-21,2024-06-21,06/21/24,2024-06-21,33422
STU4 Index,2024-09-20,2024-09-20,09/20/24,2024-09-20,33851
STZ4 Index,2024-12-20,2024-12-20,12/20/24,2024-12-20,33495
STH5 Index,2025-03-21,2025-03-21,03/21/25,2025-03-21,38986
STM5 Index,2025-06-20,2025-06-20,06/20/25,2025-06-20,36946
STU5 Index,2025-09-19,2025-09-19,09/19/25,2025-09-19,36923
STZ5 Index,2025-12-19,2025-12-19,12/19/25,2025-12-19,36646
STH6 Index,2026-03-20,2026-03-20,03/20/26,2026-03-20,36701
